Epoch,r,Train_Loss,Train_Accuracy,Test_Accuracy
81,0.25,0.11973431041893134,96.41666666666667,96.63
82,0.25,0.1191200021155941,96.43833333333333,96.64
83,0.25,0.11854244559915907,96.465,96.59
84,0.25,0.1178954432783986,96.48666666666666,96.69
85,0.25,0.11712579260558398,96.53166666666667,96.66
86,0.25,0.11662374318801741,96.51833333333333,96.68
87,0.25,0.11602166916992364,96.55166666666666,96.63
88,0.25,0.11553834393215395,96.56333333333333,96.72
89,0.25,0.11488047554922193,96.58666666666667,96.66
90,0.25,0.11428172562295186,96.60166666666667,96.8
91,0.25,0.11389358684833624,96.61166666666666,96.79
92,0.25,0.11323009140745822,96.63333333333334,96.83
93,0.25,0.11263142581353945,96.64666666666666,96.79
94,0.25,0.11240975071848837,96.64833333333333,96.84
95,0.25,0.11169590992924533,96.68666666666667,96.8
96,0.25,0.1110829720323258,96.68333333333334,96.81
97,0.25,0.11074930206258922,96.67333333333333,96.87
98,0.25,0.11017911092066435,96.73666666666666,96.87
99,0.25,0.10974834547507198,96.72666666666667,96.93
100,0.25,0.10917273546451889,96.77,96.86
1,0.5,1.2108017457510107,67.74166666666666,82.06
2,0.5,0.5060324601209494,84.63833333333334,87.02
3,0.5,0.4023804100496428,87.97333333333333,89.32
4,0.5,0.35141770665579514,89.605,90.57
5,0.5,0.31883381467574695,90.51666666666667,91.45
6,0.5,0.29548995775867626,91.18333333333334,92.01
7,0.5,0.27753497992179543,91.70666666666666,92.61
8,0.5,0.2631446912344585,92.14333333333333,92.94
9,0.5,0.2511317325807584,92.52166666666666,93.29
10,0.5,0.2410761464490438,92.78666666666666,93.66
11,0.5,0.23207684032825518,93.03666666666666,93.72
12,0.5,0.2244368257012957,93.305,94.04
13,0.5,0.21749300476727582,93.50333333333333,94.28
14,0.5,0.2112986250703078,93.68333333333334,94.4
15,0.5,0.2054452437208469,93.85666666666667,94.46
16,0.5,0.20018517664437102,94.02,94.64
17,0.5,0.19555113100007906,94.175,94.84
18,0.5,0.19114490357765765,94.29333333333334,94.92
19,0.5,0.18703618665525654,94.4,94.98
20,0.5,0.18327321211841188,94.52166666666666,95.05
21,0.5,0.17967910618225394,94.67166666666667,95.2
22,0.5,0.17637785421664526,94.76333333333334,95.25
23,0.5,0.1732559374003395,94.88666666666667,95.4
24,0.5,0.17019166245754722,94.92833333333333,95.4
25,0.5,0.16743237105831663,95.06666666666666,95.44
26,0.5,0.1648444482870003,95.10833333333333,95.61
27,0.5,0.1622828555696491,95.17833333333333,95.73
28,0.5,0.1599148081969033,95.23833333333333,95.68
29,0.5,0.1576137134968154,95.31166666666667,95.73
30,0.5,0.15533688441832375,95.37,95.84
31,0.5,0.15338469167420668,95.45833333333333,95.87
32,0.5,0.15140412378110993,95.51,95.9
33,0.5,0.14938419879571016,95.60666666666667,95.87
34,0.5,0.14763367154411097,95.64166666666667,96.02
35,0.5,0.14593170741314826,95.66166666666666,96.03
36,0.5,0.14429024948097113,95.72,96.12
37,0.5,0.14268402474076508,95.78333333333333,96.15
38,0.5,0.14110779245969837,95.81,96.18
39,0.5,0.13958908951700305,95.87166666666667,96.18
40,0.5,0.13811876516399987,95.90833333333333,96.14
41,0.5,0.13679862706097903,95.94666666666667,96.29
42,0.5,0.13539946236526534,95.98,96.31
43,0.5,0.13420446856773452,95.98833333333333,96.32
44,0.5,0.13290657498923414,96.04333333333334,96.45
45,0.5,0.13166657225020342,96.07666666666667,96.39
46,0.5,0.1305209548095428,96.10833333333333,96.5
47,0.5,0.12923327725388603,96.15666666666667,96.56
48,0.5,0.12826588077307827,96.2,96.54
49,0.5,0.12711311321356086,96.20166666666667,96.52
50,0.5,0.12617677675564087,96.23833333333333,96.59
51,0.5,0.12511096052777793,96.28166666666667,96.66
52,0.5,0.12404774455850058,96.30833333333334,96.68
53,0.5,0.12311452767773987,96.34833333333333,96.68
54,0.5,0.12215014494685476,96.38,96.7
55,0.5,0.12132856674663135,96.38833333333334,96.75
56,0.5,0.12039145321122555,96.44,96.79
57,0.5,0.11957243553348887,96.47333333333333,96.78
58,0.5,0.11872573676052442,96.475,96.85
59,0.5,0.11781358201183807,96.49333333333334,96.8
60,0.5,0.1171031458599211,96.56333333333333,96.8
61,0.5,0.11640752860898974,96.565,96.88
62,0.5,0.11553001188750524,96.595,96.97
63,0.5,0.11484554184497452,96.59833333333333,96.9
64,0.5,0.11403797837152982,96.60666666666667,96.92
65,0.5,0.11341412552098222,96.63166666666666,96.94
66,0.5,0.11265259285344244,96.68,96.98
67,0.5,0.11197191601329202,96.67333333333333,96.92
68,0.5,0.11146880058782187,96.71333333333334,96.99
69,0.5,0.11077224571647039,96.72666666666667,97.04
70,0.5,0.1100269205786828,96.75833333333334,97.01
71,0.5,0.10958935428104961,96.75666666666666,97.02
72,0.5,0.10886738763979154,96.77833333333334,97.07
73,0.5,0.1082980265991806,96.80333333333333,97.05
74,0.5,0.10770828774802561,96.81666666666666,97.05
75,0.5,0.10723431839117173,96.82666666666667,97.03
76,0.5,0.10665770998792544,96.84333333333333,97.1
77,0.5,0.10601117148566475,96.86,97.08
78,0.5,0.10552144095972815,96.87333333333333,97.16
79,0.5,0.10505808874178352,96.88,97.1
80,0.5,0.10451745778830575,96.88666666666667,97.13
81,0.5,0.10402696830297965,96.92666666666666,97.14
82,0.5,0.10350839493831973,96.93,97.22
83,0.5,0.10300947878577275,96.93833333333333,97.19
84,0.5,0.10261473163906763,96.94333333333333,97.22
85,0.5,0.10212624480109861,96.95666666666666,97.22
86,0.5,0.10165630136904463,96.95333333333333,97.19
87,0.5,0.1011955914026035,97.01833333333333,97.21
88,0.5,0.10080711548921586,97.01,97.22
89,0.5,0.10036849518860581,96.99833333333333,97.25
90,0.5,0.0998801710540806,97.03333333333333,97.31
91,0.5,0.0995073253447726,97.03333333333333,97.29
92,0.5,0.09907183133915606,97.06,97.33
93,0.5,0.09866151313926937,97.07,97.32
94,0.5,0.09829513569261188,97.075,97.3
95,0.5,0.09790817642413667,97.09833333333333,97.34
96,0.5,0.09748996428694567,97.09666666666666,97.36
97,0.5,0.09714024542952016,97.11166666666666,97.37
98,0.5,0.09680114286854419,97.105,97.32
99,0.5,0.09636461559379263,97.12166666666667,97.37
100,0.5,0.09612944055455866,97.14333333333333,97.36
1,0.75,1.0757857258957841,72.37833333333333,85.04
2,0.75,0.46674735915622734,86.40166666666667,88.38
3,0.75,0.38505358139334966,88.57666666666667,90.21
4,0.75,0.3410286449833211,89.86166666666666,91.22
5,0.75,0.31083514875789947,90.75,91.99
6,0.75,0.2891245187758637,91.33666666666667,92.64
7,0.75,0.27212214702641024,91.88,93.14
8,0.75,0.25776048498684917,92.355,93.32
9,0.75,0.24609739238074593,92.68333333333334,93.62
10,0.75,0.23601427384372206,92.97833333333334,93.82
11,0.75,0.2274639112378425,93.24,94.09
12,0.75,0.21966600931608982,93.46333333333334,94.27
13,0.75,0.21287018730680443,93.66,94.42
14,0.75,0.2068654866472109,93.865,94.61
15,0.75,0.20152866204918574,94.00333333333333,94.81
16,0.75,0.1963422123446012,94.15166666666667,94.96
17,0.75,0.19163283591728603,94.30333333333333,95.02
18,0.75,0.18744006954721296,94.41666666666667,95.09
19,0.75,0.18356590965059774,94.52833333333334,95.24
20,0.75,0.17987135051886663,94.65666666666667,95.25
21,0.75,0.17646155094525326,94.72833333333334,95.42
22,0.75,0.17348165606170385,94.82166666666667,95.47
23,0.75,0.17040927117583213,94.92,95.51
24,0.75,0.16776002262002115,94.98,95.64
25,0.75,0.16487179682858144,95.095,95.65
26,0.75,0.16246201923248102,95.19333333333333,95.68
27,0.75,0.16004741776273892,95.24166666666666,95.81
28,0.75,0.15781686418076188,95.29,95.83
29,0.75,0.15580115036399506,95.355,95.95
30,0.75,0.1534998653464512,95.44166666666666,95.97
31,0.75,0.15162708685159493,95.465,95.93
32,0.75,0.14966270696522713,95.54166666666667,96.12
33,0.75,0.14796895976029417,95.605,96.12
34,0.75,0.14615631135089246,95.635,96.1
35,0.75,0.14446130417176148,95.67833333333333,96.18
36,0.75,0.1428236904452795,95.75166666666667,96.2
37,0.75,0.14148805348444848,95.78666666666666,96.25
38,0.75,0.14002447430370077,95.84833333333333,96.21
39,0.75,0.13859068527261711,95.865,96.29
40,0.75,0.13703985039248015,95.90333333333334,96.31
41,0.75,0.1358163241646501,95.97333333333333,96.39
42,0.75,0.13452641962409845,96.01833333333333,96.45
43,0.75,0.1332766971231174,96.06,96.44
44,0.75,0.1319759111942799,96.09666666666666,96.47
45,0.75,0.13100564750685875,96.11833333333334,96.54
46,0.75,0.1298659642888253,96.15833333333333,96.49
47,0.75,0.12886012712124187,96.20833333333333,96.46
48,0.75,0.12764021059446562,96.23333333333333,96.59
49,0.75,0.12675980480113772,96.26,96.61
50,0.75,0.12561618030142746,96.295,96.67
51,0.75,0.1247082367571178,96.29833333333333,96.63
52,0.75,0.12390593477169365,96.335,96.62
53,0.75,0.12285763795958209,96.385,96.7
54,0.75,0.12196328146442739,96.42,96.71
55,0.75,0.12100417332163751,96.44166666666666,96.77
56,0.75,0.12023912579702861,96.46833333333333,96.81
57,0.75,0.11954495988821964,96.49666666666667,96.71
58,0.75,0.11870767526737631,96.53,96.82
59,0.75,0.1178672951705722,96.55,96.86
60,0.75,0.11716553986743727,96.57,96.82
61,0.75,0.11661653628529135,96.57666666666667,96.9
62,0.75,0.11575714852919043,96.585,96.88
63,0.75,0.11506110813413094,96.62333333333333,96.91
64,0.75,0.11429940250966308,96.64333333333333,96.95
65,0.75,0.11364077744302528,96.69,96.93
66,0.75,0.11303150389434845,96.69,96.97
67,0.75,0.11238989567975881,96.735,97.04
68,0.75,0.11176446447077432,96.73,96.93
69,0.75,0.11125665932977155,96.72666666666667,97.05
70,0.75,0.11056873503266208,96.76333333333334,97.0
71,0.75,0.1101248944843454,96.76666666666667,97.01
72,0.75,0.10961332240465607,96.765,97.04
73,0.75,0.10881657059838586,96.79166666666667,97.06
74,0.75,0.10846079432411489,96.805,97.1
75,0.75,0.10772230081768559,96.85166666666667,97.05
76,0.75,0.10738122949043094,96.85833333333333,97.09
77,0.75,0.10680285437123925,96.84,97.12
78,0.75,0.10623329385980042,96.87666666666667,97.08
79,0.75,0.10584985190676822,96.895,97.12
80,0.75,0.10533362640532604,96.91,97.14
81,0.75,0.10498402780716194,96.90666666666667,97.12
82,0.75,0.10441996330824266,96.93166666666667,97.19
83,0.75,0.10403657270504087,96.98166666666667,97.18
84,0.75,0.10347937888054769,96.965,97.22
85,0.75,0.10313130187184445,96.965,97.2
86,0.75,0.10263642112909159,96.94,97.22
87,0.75,0.10231737557278354,97.00333333333333,97.18
88,0.75,0.10179828873166302,97.01,97.25
89,0.75,0.10141050640884827,96.985,97.27
90,0.75,0.10087668188194286,97.03666666666666,97.28
91,0.75,0.10057861301432382,97.03666666666666,97.28
92,0.75,0.100193409646339,97.055,97.31
93,0.75,0.09978359744353875,97.04333333333334,97.3
94,0.75,0.09947159678351555,97.07,97.32
95,0.75,0.09916138516635752,97.04333333333334,97.29
96,0.75,0.09856948573023144,97.06666666666666,97.32
97,0.75,0.09836566627327441,97.1,97.3
98,0.75,0.09804420488507254,97.08333333333333,97.41
99,0.75,0.09769571336534327,97.06,97.33
100,0.75,0.09731679761420879,97.13333333333334,97.33
1,1,0.990132752925094,70.68833333333333,83.8
2,1,0.500800568650145,84.79666666666667,86.43
3,1,0.4448722085909549,86.67666666666666,87.86
4,1,0.41458068797583264,87.52,88.29
5,1,0.39412475868201713,88.075,89.04
